state,x,y
Alabama,139,-97
Alaska,-204,-170
Arizona,-203,-40
Arkansas,57,-53
California,-297,13
Colorado,-112,20
Connecticut,297,76
Delaware,275,42
Florida,220,-145
Georgia,182,-75
Hawaii,-317,-143
Idaho,-216,122
Illinois,95,37
Indiana,138,39
Iowa,38,65
Kansas,-17,5
Kentucky,152,-9
Louisiana,73,-134
Maine,324,164
Maryland,288,27
Massachusetts,352,108
Michigan,148,101
Minnesota,31,135
Mississippi,99,-78
Missouri,49,6
Montana,-141,150
Nebraska,-21,56
Nevada,-257,56
New Hampshire,302,127
New Jersey,312,55
New Mexico,-128,-43
New York,259,100
North Carolina,239,-22
North Dakota,-44,158
Ohio,176,52
Oklahoma,-8,-41
Oregon,-278,138
Pennsylvania,238,60
Rhode Island,318,94
South Carolina,230,-62
South Dakota,-44,109
Tennessee,131,-34
Texas,-38,-106
Utah,-189,34
Vermont,278,152
Virginia,241,2
Washington,-257,193
West Virginia,210,20
Wisconsin,83,113
Wyoming,-134,90
